date,revenue,usdValue,active_gpu_capacity,available_gpu,active_leases,staked_compute_providers,daily_earnings_usd,protocol_earnings_usd,active_provider_count,gpu_utilization,total_daily_earnings_usd
2024-09-17 00:00:00.000,325568.72487835,17850.09361616717,,,,,,,,0.0,17850.09361616717
2024-09-18 00:00:00.000,14.84230055,0.859434070021273,,,,,,,,0.0,0.859434070021273
2024-09-19 00:00:00.000,1648123.86309867,97664.62321383585,,,,,,,,0.0,97664.62321383585
2024-09-20 00:00:00.000,789928.9408933702,47248.39801919138,,,,,,,,0.0,47248.39801919138
2024-09-21 00:00:00.000,1645866.24206762,98061.44794773193,,,,,,,,0.0,98061.44794773193
2024-09-22 00:00:00.000,1607584.104142671,97623.94130842134,,,,,,,,0.0,97623.94130842134
2024-09-23 00:00:00.000,1583547.37509094,102114.2583958413,,,,,,,,0.0,102114.2583958413
2024-09-24 00:00:00.000,1637505.14860342,105040.9596535196,,,,,,,,0.0,105040.9596535196
2024-09-25 00:00:00.000,1583547.37509094,104879.929242041,,,,,,,,0.0,104879.929242041
2024-09-26 00:00:00.000,2198301.28723383,136534.0086658472,,,,,,,,0.0,136534.0086658472
2024-09-27 00:00:00.000,1343878.85248937,88734.2451010874,,,,,,,,0.0,88734.2451010874
2024-09-28 00:00:00.000,2959722.89017803,197421.1448400109,,,,,,,,0.0,197421.1448400109
2024-09-29 00:00:00.000,1645179.23259356,111398.8200610648,,,,,,,,0.0,111398.8200610648
2024-09-30 00:00:00.000,1644681.79762267,108203.4860797042,,,,,,,,0.0,108203.4860797042
2024-10-01 00:00:00.000,1644628.1611119,102191.6855494117,,,,,,,,0.0,102191.6855494117
2024-10-02 00:00:00.000,1644628.1611119,96025.67164065472,,,,,,,,0.0,96025.67164065472
2024-10-03 00:00:00.000,2335317.12204007,132891.1866998642,,,,,,,,0.0,132891.1866998642
2024-10-04 00:00:00.000,1641306.77492057,88070.13019999443,,,,,,,,0.0,88070.13019999443
2024-10-05 00:00:00.000,1641306.77492057,95136.84315816453,,,,,,,,0.0,95136.84315816453
2024-10-06 00:00:00.000,530071.51027396,30011.94212979178,,,,,,,,0.0,30011.94212979178
2024-10-07 00:00:00.000,1889268.48441804,109343.4701729657,,,,,,,,0.0,109343.4701729657
2024-10-08 00:00:00.000,1889268.48441804,107036.1546854387,,,,,,,,0.0,107036.1546854387
2024-10-09 00:00:00.000,1889268.48441804,113139.7760294275,,,,,,,,0.0,113139.7760294275
2024-10-10 00:00:00.000,3270646.40627438,196817.9254782687,,,,,,,,0.0,196817.9254782687
2024-10-11 00:00:00.000,1889268.48441804,113046.0328937461,,,,,,,,0.0,113046.0328937461
2024-10-12 00:00:00.000,1889268.48441804,115456.8294052248,,,,,,,,0.0,115456.8294052248
2024-10-13 00:00:00.000,1889268.48441804,112960.0128424367,,,,,,,,0.0,112960.0128424367
2024-10-14 00:00:00.000,1256331.90133747,73338.12087784352,,,,,,,,0.0,73338.12087784352
2024-10-15 00:00:00.000,86462.07802908,5212.846146606918,,,,,,,,0.0,5212.846146606918
2024-10-16 00:00:00.000,86462.07802908,5038.510832035658,,,,,,,,0.0,5038.510832035658
2024-10-17 00:00:00.000,2131885.405031359,119613.7398598063,,,,,,,,0.0,119613.7398598063
2024-10-18 00:00:00.000,2016090.863394979,109468.1024225341,,,,,,,,0.0,109468.1024225341
2024-10-19 00:00:00.000,2118919.525076749,116425.6988309012,,,,,,,,0.0,116425.6988309012
2024-10-20 00:00:00.000,2016090.863394979,109427.8166408111,,,,,,,,0.0,109427.8166408111
2024-10-21 00:00:00.000,2016090.863394979,111483.285138811,,,,,,,,0.0,111483.285138811
2024-10-22 00:00:00.000,2016090.863394979,108575.6838583548,,,,,,,,0.0,108575.6838583548
2024-10-23 00:00:00.000,2016090.863394979,105533.3057263962,,,,,,,,0.0,105533.3057263962
2024-10-24 00:00:00.000,3686138.963853109,184807.3495091047,,,,,,,,0.0,184807.3495091047
2024-10-25 00:00:00.000,2016090.863394979,103192.5413205526,,,,,,,,0.0,103192.5413205526
2024-10-26 00:00:00.000,2085289.632625749,95647.2339164874,,,,,,,,0.0,95647.2339164874
2024-10-27 00:00:00.000,2016090.863394979,98506.66774005488,,,,,,,,0.0,98506.66774005488
2024-10-28 00:00:00.000,2016090.863394979,100648.1522488486,,,,,,,,0.0,100648.1522488486
2024-10-29 00:00:00.000,2016090.863394979,98160.4463840514,,,,,,,,0.0,98160.4463840514
2024-10-30 00:00:00.000,2016090.863394979,101125.3738355948,,,,,,,,0.0,101125.3738355948
2024-10-31 00:00:00.000,2086931.686578519,106798.4563654418,,,,,,,,0.0,106798.4563654418
2024-11-01 00:00:00.000,2033610.863394979,97908.60481768896,,,,,,,,0.0,97908.60481768896
2024-11-02 00:00:00.000,2016090.863394979,97656.106120628,,,,,,,,0.0,97656.106120628
2024-11-03 00:00:00.000,2016090.863394979,93916.74069997316,,,,,,,,0.0,93916.74069997316
2024-11-04 00:00:00.000,2089346.889453609,93577.96780377072,,,,,,,,0.0,93577.96780377072
2024-11-05 00:00:00.000,2850912.91063907,125933.0472942617,,,,,,,,0.0,125933.0472942617
2024-11-06 00:00:00.000,2170981.59866063,98747.427695843,,,,,,,,0.0,98747.427695843
2024-11-07 00:00:00.000,4280115.38110077,213241.8079257059,,,,,,,,0.0,213241.8079257059
2024-11-08 00:00:00.000,2020830.658950649,107125.0539385929,,,,,,,,0.0,107125.0539385929
