date,revenue,usdValue
2024-10-11,1889268.48441804,113046.0328937461
2024-10-10,3270646.40627438,196817.9254782687
2024-10-09,1889268.48441804,113139.7760294275
2024-10-08,1889268.48441804,107036.1546854387
2024-10-07,1889268.48441804,109343.4701729657
2024-10-06,530071.51027396,30011.94212979178
2024-10-05,1641306.77492057,95136.84315816453
2024-10-04,1641306.77492057,88070.13019999443
2024-10-03,2335317.12204007,132891.1866998642
2024-10-02,1644628.1611119,96025.67164065472
2024-10-01,1644628.1611119,102191.6855494117
2024-09-30,1644681.79762267,108203.4860797042
2024-09-29,1645179.23259356,111398.8200610648
2024-09-28,2959722.89017803,197421.1448400109
2024-09-27,1343878.85248937,88734.2451010874
2024-09-26,2198301.28723383,136534.0086658472
2024-09-25,1583547.37509094,104879.929242041
2024-09-24,1637505.14860342,105040.9596535196
2024-09-23,1583547.37509094,102114.2583958413
2024-09-22,1607584.104142671,97623.94130842134
2024-09-21,1645866.24206762,98061.44794773193
2024-09-20,789928.9408933702,47248.39801919138
2024-09-19,1648123.86309867,97664.62321383583
2024-09-18,14.84230055,0.859434070021273
2024-09-17,325568.72487835,17850.09361616717
2024-09-16,1508141.35848161,86947.8536661064
2024-09-15,1540823.36344622,88824.62359591125
2024-09-14,1543060.99490888,84508.52756701369
2024-09-13,1827503.78951586,101343.3105287603
2024-09-12,1887915.50270211,94712.80326903597
2024-09-11,1114422.47152965,53560.52509030225
2024-09-10,1287478.32180434,59552.31359871286
2024-09-09,477400.2338928899,21669.21641303807
2024-09-08,595758.3332287301,26752.87473171851
2024-09-07,437679.2350136201,19157.79877251687
2024-09-06,773332.49474423,35136.49126694637
2024-09-05,488889.70013725,23394.90036365762
2024-09-04,488889.70013725,24097.02433388576
2024-09-03,601096.3658649799,31665.97990897877
2024-09-02,1397579.77503803,73275.54340166683
2024-09-01,1632096.36271521,83127.52766413693
2024-08-31,1539544.21403704,80986.18368479265
2024-08-30,379755.11342942,20338.49262197784
2024-08-29,1157962.76121523,63436.24134360068
2024-08-28,1157962.76121523,64960.13218172272
2024-08-27,1158340.71699863,89465.18492681955
2024-08-26,1050067.03522228,81102.59797750814
2024-08-25,629194.2508820499,48596.21973395663
2024-08-24,377.9557834,29.19165627161663
2024-08-23,377.9557834,29.19165627161663
2024-08-22,91278.82759483,7049.978534670126
2024-08-21,193658.37907653,14957.32856702331
2024-08-20,635958.96107839,49118.69644552389
2024-08-19,635958.96107839,49118.69644552389
2024-08-18,442300.58200186,34161.36787850057
2024-08-17,442307.3990444699,34161.89439713952
2024-08-16,661143.04747028,51063.80543910345
2024-08-15,964975.27504457,74530.48154550292
2024-08-14,1103424.94642098,85223.73032021777
2024-08-13,1470191.09366047,113551.1478979225
2024-08-12,761971.5752961499,44985.37536539209
2024-08-11,761964.7582535399,48004.98482142299
2024-08-10,761964.7582535399,46555.00628291677
2024-08-09,761964.7582535399,48674.43250801858
2024-08-08,4514.13350449,273.8010235161785
2024-08-07,4514.13350449,265.8967892029517
2024-08-06,4514.13350449,282.2062717910329
2024-08-05,10.53030046,0.5629397228712824
2024-08-04,5.58139535,0.365079838343059
2024-08-03,5.58139535,0.3774941309024422
2024-08-02,112.88460493,8.184385640549738
2024-08-01,11.13392665,0.8078821920240776
2024-07-31,11.13392665,0.7367759048527349
2024-07-30,11.13392665,0.7827476278450054
2024-07-29,11.13392665,0.8157094792149456
2024-07-28,5.5525313,0.3991625805005817
2024-07-27,5.5525313,0.4114798659700137
2024-07-26,8.08911667,0.5955948722489111
2024-07-22,36.38680087,2.862993647552059
